,Suburb,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0, Jordan Springs,Gym,Lake,Café,Department Store,Auto Garage,Fishing Store,Food,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant
1, South Granville,Middle Eastern Restaurant,Post Office,Soccer Field,Park,Garden,Fishing Spot,Fish Market,Eastern European Restaurant,Flower Shop,Egyptian Restaurant
2,Abbotsbury,Park,Convenience Store,Bus Station,Farm,Farmers Market,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space
3,Abbotsford,Café,Pizza Place,Thai Restaurant,Park,Construction & Landscaping,Wine Shop,Costume Shop,Dumpling Restaurant,Eastern European Restaurant,Egyptian Restaurant
4,Agnes Banks,Park,Nature Preserve,Other Repair Shop,Farm,Farmers Market,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space
5,Airds,Gas Station,Zoo,Fast Food Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop,Falafel Restaurant
6,Alexandria,Café,Australian Restaurant,Flea Market,Bar,Basketball Court,Zoo,Farmers Market,Electronics Store,Event Service,Event Space
7,Alfords Point,Fast Food Restaurant,National Park,Zoo,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop,Falafel Restaurant
8,Allambie Heights,Café,Liquor Store,Park,Bakery,Grocery Store,Fishing Store,Fishing Spot,Dutch Restaurant,Food,Eastern European Restaurant
9,Allawah,Pub,Train Station,BBQ Joint,Thai Restaurant,Flea Market,Flower Shop,Dutch Restaurant,Eastern European Restaurant,Food,Egyptian Restaurant
10,Ambarvale,Pub,Bus Stop,Business Service,Supermarket,Flea Market,Fishing Store,Food,Flower Shop,Egyptian Restaurant,Electronics Store
11,Annandale,Café,Grocery Store,Fried Chicken Joint,Bar,Australian Restaurant,Bus Station,Asian Restaurant,Garden Center,Italian Restaurant,Liquor Store
12,Annangrove,Indian Restaurant,Racetrack,Auto Workshop,Flower Shop,Farm,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service
13,Arcadia,Tennis Court,Lake,Event Space,Art Gallery,Zoo,Farmers Market,Egyptian Restaurant,Electronics Store,Event Service,Fabric Shop
14,Arncliffe,Grocery Store,Intersection,Park,Lebanese Restaurant,Outlet Store,Bakery,Thai Restaurant,Hotel,Fish Market,Electronics Store
15,Artarmon,Café,Liquor Store,Thai Restaurant,Japanese Restaurant,Convenience Store,Ramen Restaurant,BBQ Joint,Sandwich Place,Korean Restaurant,Gym
16,Ashbury,Park,Market,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop,Falafel Restaurant
17,Ashfield,Chinese Restaurant,Shanghai Restaurant,Electronics Store,Japanese Restaurant,Dumpling Restaurant,Supermarket,Platform,Discount Store,Park,Grocery Store
18,Asquith,Train Station,Soccer Field,Hobby Shop,Fast Food Restaurant,Gas Station,Supermarket,Zoo,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant
19,Auburn,Pizza Place,Garden,Café,Supermarket,Persian Restaurant,Middle Eastern Restaurant,Tennis Court,Fish & Chips Shop,Falafel Restaurant,Eastern European Restaurant
20,Austral,Shopping Mall,Park,Grocery Store,Dumpling Restaurant,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space
21,Avalon Beach,Café,Grocery Store,Coffee Shop,Tea Room,Bakery,Beach,Sandwich Place,Fishing Spot,Fish Market,Eastern European Restaurant
22,Badgerys Creek,School,Business Service,Rental Service,Zoo,Farm,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space
23,Balgowlah,Café,Japanese Restaurant,Shopping Mall,Liquor Store,Golf Course,Park,Gym,Athletics & Sports,Supermarket,Indian Restaurant
24,Balgowlah Heights,Park,Scenic Lookout,Beach,Tennis Court,Farm,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service
25,Balmain,Café,Pub,Bar,Indian Restaurant,Sushi Restaurant,Pizza Place,Seafood Restaurant,Thai Restaurant,Dessert Shop,Beer Garden
26,Balmain East,Café,Wine Shop,Park,Bowling Green,Italian Restaurant,Gastropub,Farm,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant
27,Bangor,Pub,Thai Restaurant,Burger Joint,Shopping Mall,Dumpling Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space
28,Banksia,Pub,Bistro,Electronics Store,Gym,Kebab Restaurant,Train Station,Fast Food Restaurant,Shopping Mall,Arts & Crafts Store,Bakery
29,Bankstown,Vietnamese Restaurant,Café,Buffet,Convenience Store,Coffee Shop,Department Store,Fast Food Restaurant,Sports Bar,Middle Eastern Restaurant,Bar
30,Bankstown Aerodrome,Airport,Miscellaneous Shop,Rental Car Location,Zoo,Field,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop
31,Barangaroo,Boat or Ferry,Zoo,Field,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop,Falafel Restaurant,Farm
32,Barden Ridge,Park,Astrologer,Italian Restaurant,Farmers Market,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space
33,Bardia,Construction & Landscaping,Park,Zoo,Farmers Market,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space
34,Bardwell Valley,Grocery Store,Zoo,Food Service,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop,Falafel Restaurant
35,Bass Hill,Fast Food Restaurant,Gym,Shopping Mall,Ice Cream Shop,Big Box Store,Sandwich Place,Café,Flower Shop,Grocery Store,Middle Eastern Restaurant
36,Baulkham Hills,Café,Pizza Place,Shopping Mall,Fast Food Restaurant,Halal Restaurant,Supermarket,Burger Joint,Italian Restaurant,Pharmacy,Gym
37,Bayview,Gym / Fitness Center,Dumpling Restaurant,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop,Falafel Restaurant
38,Beacon Hill,Scenic Lookout,Business Service,Event Service,Home Service,Fast Food Restaurant,Farm,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store
39,Beaconsfield,Coffee Shop,Furniture / Home Store,Café,Electronics Store,Italian Restaurant,Pet Store,Miscellaneous Shop,Grocery Store,Bakery,Pizza Place
40,Beaumont Hills,Grocery Store,Pet Store,Park,Pizza Place,Shopping Mall,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service
41,Beecroft,Café,Park,Italian Restaurant,Fast Food Restaurant,Shopping Mall,Supermarket,Liquor Store,Chinese Restaurant,Convenience Store,Pizza Place
42,Belfield,Café,Gas Station,BBQ Joint,Park,Pizza Place,Middle Eastern Restaurant,Farmers Market,Egyptian Restaurant,Electronics Store,Event Service
43,Bella Vista,Café,Sandwich Place,Pizza Place,Fast Food Restaurant,Farm,Shopping Mall,Sushi Restaurant,Chinese Restaurant,Supermarket,Event Space
44,Bellevue Hill,Café,Liquor Store,Yoga Studio,Cosmetics Shop,Dutch Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop
45,Belmore,Café,Greek Restaurant,Fast Food Restaurant,Food & Drink Shop,Bakery,Gym / Fitness Center,Lebanese Restaurant,Chinese Restaurant,BBQ Joint,Sports Club
46,Belrose,Tennis Court,Pub,Playground,Sports Bar,Grocery Store,Park,National Park,Fabric Shop,Dumpling Restaurant,Dutch Restaurant
47,Berala,Train Station,Bakery,Asian Restaurant,Supermarket,Korean Restaurant,Middle Eastern Restaurant,Coffee Shop,Pub,Thai Restaurant,Cosmetics Shop
48,Berkshire Park,Construction & Landscaping,Pool,Zoo,Fast Food Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop
49,Berowra,Platform,Liquor Store,Bakery,Train Station,Gas Station,Park,Fast Food Restaurant,Bus Station,Soccer Field,Pizza Place
